path,filename,video_id,ok_read,sample_rate,channels,duration_s,rms_dbfs,peak_dbfs,silence_ratio,clipping_ratio,keep_auto,reason
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_042.wav,0eDJFB70peE_seg_042.wav,0eDJFB70peE,True,16000,1,3.0,-56.0096,-29.7457,0.991,0.0,False,too_quiet:-56.0dBFS;mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_043.wav,0eDJFB70peE_seg_043.wav,0eDJFB70peE,True,16000,1,3.0,-60.5909,-41.5857,0.9995,0.0,False,too_quiet:-60.6dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_044.wav,0eDJFB70peE_seg_044.wav,0eDJFB70peE,True,16000,1,3.0,-59.8309,-39.1109,0.9991,0.0,False,too_quiet:-59.8dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_045.wav,0eDJFB70peE_seg_045.wav,0eDJFB70peE,True,16000,1,3.0,-47.8027,-15.9689,0.9824,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_046.wav,0eDJFB70peE_seg_046.wav,0eDJFB70peE,True,16000,1,3.0,-46.4278,-11.9841,0.9897,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_047.wav,0eDJFB70peE_seg_047.wav,0eDJFB70peE,True,16000,1,3.0,-54.6382,-31.69,0.9874,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_048.wav,0eDJFB70peE_seg_048.wav,0eDJFB70peE,True,16000,1,3.0,-61.2101,-45.4482,1.0,0.0,False,too_quiet:-61.2dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_049.wav,0eDJFB70peE_seg_049.wav,0eDJFB70peE,True,16000,1,3.0,-57.9084,-32.0221,0.9966,0.0,False,too_quiet:-57.9dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_050.wav,0eDJFB70peE_seg_050.wav,0eDJFB70peE,True,16000,1,3.0,-51.7785,-22.0699,0.9894,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_051.wav,0eDJFB70peE_seg_051.wav,0eDJFB70peE,True,16000,1,3.0,-62.2038,-45.2519,1.0,0.0,False,too_quiet:-62.2dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_052.wav,0eDJFB70peE_seg_052.wav,0eDJFB70peE,True,16000,1,3.0,-60.4005,-32.4894,0.999,0.0,False,too_quiet:-60.4dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_053.wav,0eDJFB70peE_seg_053.wav,0eDJFB70peE,True,16000,1,3.0,-49.6528,-15.7111,0.9882,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_054.wav,0eDJFB70peE_seg_054.wav,0eDJFB70peE,True,16000,1,3.0,-57.1405,-31.5687,0.9957,0.0,False,too_quiet:-57.1dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_055.wav,0eDJFB70peE_seg_055.wav,0eDJFB70peE,True,16000,1,3.0,-38.8229,-13.344,0.8756,0.0,False,mostly_silence:0.88
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_056.wav,0eDJFB70peE_seg_056.wav,0eDJFB70peE,True,16000,1,3.0,-51.946,-26.1026,0.9754,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_057.wav,0eDJFB70peE_seg_057.wav,0eDJFB70peE,True,16000,1,3.0,-49.8175,-15.3158,0.9764,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_058.wav,0eDJFB70peE_seg_058.wav,0eDJFB70peE,True,16000,1,3.0,-60.4269,-45.3006,1.0,0.0,False,too_quiet:-60.4dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_059.wav,0eDJFB70peE_seg_059.wav,0eDJFB70peE,True,16000,1,3.0,-58.2637,-35.1156,0.9951,0.0,False,too_quiet:-58.3dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_060.wav,0eDJFB70peE_seg_060.wav,0eDJFB70peE,True,16000,1,3.0,-53.3451,-20.9184,0.9864,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_061.wav,0eDJFB70peE_seg_061.wav,0eDJFB70peE,True,16000,1,3.0,-59.5092,-39.4029,0.9997,0.0,False,too_quiet:-59.5dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_062.wav,0eDJFB70peE_seg_062.wav,0eDJFB70peE,True,16000,1,3.0,-57.6542,-34.4612,0.9954,0.0,False,too_quiet:-57.7dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_063.wav,0eDJFB70peE_seg_063.wav,0eDJFB70peE,True,16000,1,3.0,-39.6527,-8.4672,0.8686,0.0,False,mostly_silence:0.87
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_064.wav,0eDJFB70peE_seg_064.wav,0eDJFB70peE,True,16000,1,3.0,-53.3099,-22.6975,0.9858,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_065.wav,0eDJFB70peE_seg_065.wav,0eDJFB70peE,True,16000,1,3.0,-53.4779,-28.82,0.9857,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_066.wav,0eDJFB70peE_seg_066.wav,0eDJFB70peE,True,16000,1,3.0,-51.2419,-18.67,0.9886,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_067.wav,0eDJFB70peE_seg_067.wav,0eDJFB70peE,True,16000,1,3.0,-53.5881,-26.5192,0.9811,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_068.wav,0eDJFB70peE_seg_068.wav,0eDJFB70peE,True,16000,1,3.0,-60.2935,-43.3819,1.0,0.0,False,too_quiet:-60.3dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_069.wav,0eDJFB70peE_seg_069.wav,0eDJFB70peE,True,16000,1,3.0,-58.469,-34.8187,0.9973,0.0,False,too_quiet:-58.5dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_070.wav,0eDJFB70peE_seg_070.wav,0eDJFB70peE,True,16000,1,3.0,-51.5651,-20.1546,0.9853,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_071.wav,0eDJFB70peE_seg_071.wav,0eDJFB70peE,True,16000,1,3.0,-49.5027,-23.1237,0.9753,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_072.wav,0eDJFB70peE_seg_072.wav,0eDJFB70peE,True,16000,1,3.0,-56.2664,-39.3289,0.9913,0.0,False,too_quiet:-56.3dBFS;mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_073.wav,0eDJFB70peE_seg_073.wav,0eDJFB70peE,True,16000,1,3.0,-53.4052,-20.9126,0.9939,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_074.wav,0eDJFB70peE_seg_074.wav,0eDJFB70peE,True,16000,1,3.0,-52.1351,-16.2828,0.9928,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_075.wav,0eDJFB70peE_seg_075.wav,0eDJFB70peE,True,16000,1,3.0,-60.0085,-31.619,0.9987,0.0,False,too_quiet:-60.0dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_076.wav,0eDJFB70peE_seg_076.wav,0eDJFB70peE,True,16000,1,3.0,-59.2009,-30.3351,0.9984,0.0,False,too_quiet:-59.2dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_077.wav,0eDJFB70peE_seg_077.wav,0eDJFB70peE,True,16000,1,3.0,-55.1655,-26.9627,0.989,0.0,False,too_quiet:-55.2dBFS;mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_078.wav,0eDJFB70peE_seg_078.wav,0eDJFB70peE,True,16000,1,3.0,-51.7076,-26.793,0.9827,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_079.wav,0eDJFB70peE_seg_079.wav,0eDJFB70peE,True,16000,1,3.0,-60.4171,-40.9421,0.9997,0.0,False,too_quiet:-60.4dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_080.wav,0eDJFB70peE_seg_080.wav,0eDJFB70peE,True,16000,1,3.0,-47.4744,-13.9445,0.9655,0.0,False,mostly_silence:0.97
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_081.wav,0eDJFB70peE_seg_081.wav,0eDJFB70peE,True,16000,1,3.0,-52.8271,-30.4491,0.972,0.0,False,mostly_silence:0.97
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_082.wav,0eDJFB70peE_seg_082.wav,0eDJFB70peE,True,16000,1,3.0,-49.4453,-19.154,0.9653,0.0,False,mostly_silence:0.97
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_083.wav,0eDJFB70peE_seg_083.wav,0eDJFB70peE,True,16000,1,3.0,-59.0763,-37.6801,0.9969,0.0,False,too_quiet:-59.1dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_084.wav,0eDJFB70peE_seg_084.wav,0eDJFB70peE,True,16000,1,3.0,-56.4424,-33.1383,0.9935,0.0,False,too_quiet:-56.4dBFS;mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_085.wav,0eDJFB70peE_seg_085.wav,0eDJFB70peE,True,16000,1,3.0,-58.4078,-36.5228,0.9941,0.0,False,too_quiet:-58.4dBFS;mostly_silence:0.99
